"GEOID","STATE","COUNTY","TOTAL_POPULATION","DISADVANTAGED_POPULATION","PCT_DISADVANTAGED"
28115,Mississippi,Pontotoc County,31618,11447,0.36204060977924
28153,Mississippi,Wayne County,20373,10676,0.52402689834585
28067,Mississippi,Jones County,68352,52466,0.767585440074906
28127,Mississippi,Simpson County,26888,19651,0.730846474263612
72127,Puerto Rico,San Juan Municipio,335468,252174,0.751708061573682
72025,Puerto Rico,Caguas Municipio,128937,109081,0.846002311206248
72021,Puerto Rico,Bayamón Municipio,178192,157493,0.883838780641106
72031,Puerto Rico,Carolina Municipio,153779,135399,0.880477828572172
72013,Puerto Rico,Arecibo Municipio,85390,80635,0.944314322520201
72129,Puerto Rico,San Lorenzo Municipio,37209,30105,0.809078448762396
72033,Puerto Rico,Cataño Municipio,24271,20920,0.861933995303036
72063,Puerto Rico,Gurabo Municipio,46910,33119,0.706011511404818
72137,Puerto Rico,Toa Baja Municipio,77810,70346,0.904074026474746
72135,Puerto Rico,Toa Alta Municipio,72864,63958,0.877772288098375
72061,Puerto Rico,Guaynabo Municipio,86937,51232,0.589300297916882
72139,Puerto Rico,Trujillo Alto Municipio,66338,44405,0.669375018842896
72037,Puerto Rico,Ceiba Municipio,11515,11513,0.999826313504125
72035,Puerto Rico,Cayey Municipio,43785,30601,0.698892314719653
38093,North Dakota,Stutsman County,20965,4375,0.208681135225376
38025,North Dakota,Dunn County,4395,879,0.2
38017,North Dakota,Cass County,176975,17092,0.0965786127984179
38099,North Dakota,Walsh County,10751,4146,0.385638545251605
38027,North Dakota,Eddy County,2301,276.12,0.12
38077,North Dakota,Richland County,16254,3877,0.238525901316599
38101,North Dakota,Ward County,68812,102.68,0.00149218159623322
38069,North Dakota,Pierce County,4126,1454,0.352399418322831
38055,North Dakota,McLean County,9584,1515.36,0.158113522537563
38005,North Dakota,Benson County,6873,4767,0.693583587952859
38053,North Dakota,McKenzie County,13334,1104,0.0827958602069896
38061,North Dakota,Mountrail County,10321,4914,0.476116655362852
38057,North Dakota,Mercer County,8462,213.36,0.0252138974237769
38035,North Dakota,Grand Forks County,70224,2201,0.0313425609478241
42079,Pennsylvania,Luzerne County,317663,96114,0.302565926784045
42133,Pennsylvania,York County,445565,50078,0.112392131338862
42117,Pennsylvania,Tioga County,40944,14585,0.356218249316139
42105,Pennsylvania,Potter County,16806,9388,0.55861002023087
42125,Pennsylvania,Washington County,207212,27620,0.133293438603942
42099,Pennsylvania,Perry County,46053,7903,0.171606627146983
42073,Pennsylvania,Lawrence County,86727,24442,0.281826882055185
42007,Pennsylvania,Beaver County,165833,33271,0.200629549004119
42077,Pennsylvania,Lehigh County,365052,93103,0.255040377809189
42033,Pennsylvania,Clearfield County,79908,42848,0.536216649146518
42109,Pennsylvania,Snyder County,40483,3584,0.0885309883160833
42003,Pennsylvania,Allegheny County,1221744,242709,0.198657820296232
42005,Pennsylvania,Armstrong County,65867,21594,0.327842470432842
42131,Pennsylvania,Wyoming County,27327,3096,0.113294543857723
42031,Pennsylvania,Clarion County,38715,18286,0.472323388867364
42115,Pennsylvania,Susquehanna County,40970,9415,0.229802294361728
42091,Pennsylvania,Montgomery County,823823,44646,0.0541936799530967
42043,Pennsylvania,Dauphin County,275632,61340,0.222543100946189
42011,Pennsylvania,Berks County,418025,87755,0.209927635906943
42071,Pennsylvania,Lancaster County,540999,71049,0.131329263085514
42019,Pennsylvania,Butler County,186899,10960,0.0586412982412961
42119,Pennsylvania,Union County,45111,5755,0.127574205847798
42095,Pennsylvania,Northampton County,302809,43535,0.143770495592932
42055,Pennsylvania,Franklin County,154147,10767,0.0698489104556041
42093,Pennsylvania,Montour County,18259,4627,0.253409277616518
42047,Pennsylvania,Elk County,30340,3814,0.125708635464733
42015,Pennsylvania,Bradford County,60963,8947,0.146761150205863
42023,Pennsylvania,Cameron County,4611,2056,0.445890262415962
42059,Pennsylvania,Greene County,36870,4217,0.11437483048549
42085,Pennsylvania,Mercer County,111518,19632,0.176043329328001
42123,Pennsylvania,Warren County,39756,15711,0.39518563235738
42107,Pennsylvania,Schuylkill County,142674,42699,0.299276672694394
42101,Pennsylvania,Philadelphia County,1579075,1025803,0.649622722163292
42065,Pennsylvania,Jefferson County,43846,25180,0.574282716781462
42009,Pennsylvania,Bedford County,48337,17055,0.352835302149492
42017,Pennsylvania,Bucks County,626806,23451,0.0374134899793557
42045,Pennsylvania,Delaware County,564554,99105,0.175545651965977
42021,Pennsylvania,Cambria County,133009,40934,0.307753610657925
42113,Pennsylvania,Sullivan County,6135,3458,0.563651181744091
42051,Pennsylvania,Fayette County,131302,78352,0.596731199829401
42089,Pennsylvania,Monroe County,168032,16627,0.0989513902113883
42067,Pennsylvania,Juniata County,24624,11248,0.45679012345679
42035,Pennsylvania,Clinton County,38915,9633,0.247539509186689
42013,Pennsylvania,Blair County,123157,41304,0.335376795472446
42127,Pennsylvania,Wayne County,51422,14246,0.277040955233169
42039,Pennsylvania,Crawford County,85665,32967,0.384836280861495
42025,Pennsylvania,Carbon County,63887,10695,0.16740494936372
42087,Pennsylvania,Mifflin County,46276,20677,0.446819085487078
42069,Pennsylvania,Lackawanna County,210652,68032,0.322959193361563
42097,Pennsylvania,Northumberland County,91761,42947,0.468031080742363
42083,Pennsylvania,McKean County,41401,12667,0.305958793265863
42037,Pennsylvania,Columbia County,65715,8885,0.135205052118999
42063,Pennsylvania,Indiana County,85032,15523,0.182554802897733
42029,Pennsylvania,Chester County,519560,28991,0.055799137731927
42111,Pennsylvania,Somerset County,74361,28222,0.379526902543
42081,Pennsylvania,Lycoming County,114330,40224,0.351823668328523
42041,Pennsylvania,Cumberland County,249328,8868,0.0355676057241866
42049,Pennsylvania,Erie County,273835,76121,0.277981266090894
42103,Pennsylvania,Pike County,55453,5397,0.0973256631742196
42129,Pennsylvania,Westmoreland County,352590,44894,0.127326356391276
42075,Pennsylvania,Lebanon County,139729,28994,0.207501663935189
42061,Pennsylvania,Huntingdon County,45369,17111,0.377151799687011
42121,Pennsylvania,Venango County,51818,8197,0.158188274344822
42027,Pennsylvania,Centre County,161960,12053,0.0744196097801926
44003,Rhode Island,Kent County,163869,8406,0.0512970726616993
44001,Rhode Island,Bristol County,48764,3136,0.0643097366910016
44007,Rhode Island,Providence County,635737,231082,0.363486787775448
44009,Rhode Island,Washington County,126060,16768.97,0.133023718864033
44005,Rhode Island,Newport County,82801,5917,0.0714604896076134
46099,South Dakota,Minnehaha County,188674,54239,0.287474691796432
46065,South Dakota,Hughes County,17608,3590.95,0.203938550658791
46029,South Dakota,Codington County,28026,7517,0.268215228716192
46093,South Dakota,Meade County,27717,6956,0.250965111664322
46117,South Dakota,Stanley County,3017,120.68,0.04
46047,South Dakota,Fall River County,6747,4182,0.619831036016007
46015,South Dakota,Brule County,5258,2779,0.52852795739825
46109,South Dakota,Roberts County,10287,8324,0.80917663069894
46069,South Dakota,Hyde County,1319,118.71,0.09
46013,South Dakota,Brown County,38915,2701,0.0694076834125659
46103,South Dakota,Pennington County,110685,31499,0.284582373401997
46023,South Dakota,Charles Mix County,9349,6824,0.72991763825008
46081,South Dakota,Lawrence County,25478,4743,0.186160609152995
46113,South Dakota,Shannon County,NA,NA,NA
46009,South Dakota,Bon Homme County,6929,3179.87,0.458921922355318
46101,South Dakota,Moody County,6507,130.76,0.0200952820039957
46005,South Dakota,Beadle County,18346,7375,0.401994985282895
46091,South Dakota,Marshall County,4891,244.55,0.05
46135,South Dakota,Yankton County,22717,9368,0.412378395034556
46035,South Dakota,Davison County,19871,11641,0.5858285944341
46085,South Dakota,Lyman County,3848,1664,0.432432432432432
25005,Massachusetts,Bristol County,561037,150821.7,0.268826654926502
25013,Massachusetts,Hampden County,467871,175898,0.375954055711938
25011,Massachusetts,Franklin County,70577,11236,0.159202006319339
25023,Massachusetts,Plymouth County,515303,44817,0.086972130959843
25003,Massachusetts,Berkshire County,126425,28401,0.22464702392723
25027,Massachusetts,Worcester County,824772,147966,0.179402307546813
25021,Massachusetts,Norfolk County,700437,37856,0.0540462596921636
25001,Massachusetts,Barnstable County,213496,10547.97,0.0494059373477723
25015,Massachusetts,Hampshire County,161032,16943,0.105215112524219
25009,Massachusetts,Essex County,783676,178796,0.228150409097637
25017,Massachusetts,Middlesex County,1600842,186036,0.116211343780336
25025,Massachusetts,Suffolk County,796605,401919,0.504539891163123
33007,New Hampshire,Coos County,31741,16320,0.514161494596894
33019,New Hampshire,Sullivan County,43104,8444,0.195898292501856
33005,New Hampshire,Cheshire County,76042,4240,0.0557586596880671
33015,New Hampshire,Rockingham County,306359,1960,0.00639772293289898
33013,New Hampshire,Merrimack County,149917,3925,0.026181153571643
33011,New Hampshire,Hillsborough County,413035,55582,0.134569709588776
54061,West Virginia,Monongalia County,105474,10112,0.0958719684472003
54083,West Virginia,Randolph County,28930,21695,0.749913584514345
54029,West Virginia,Hancock County,29383,10279,0.349828131913011
54031,West Virginia,Hardy County,13805,5660,0.409996378123868
54011,West Virginia,Cabell County,94339,30629,0.324669542818983
54043,West Virginia,Lincoln County,20850,15132,0.725755395683453
54039,West Virginia,Kanawha County,183279,94120,0.513534010988711
54099,West Virginia,Wayne County,40303,25572,0.634493710145647
54003,West Virginia,Berkeley County,115329,13529,0.117307875729435
54055,West Virginia,Mercer County,59919,53939,0.900198601445285
54081,West Virginia,Raleigh County,75252,58794,0.781294849306331
54049,West Virginia,Marion County,56355,25922,0.45997693194925
54065,West Virginia,Morgan County,17709,6557,0.370263707719239
54035,West Virginia,Jackson County,28907,13568,0.469367281281351
54091,West Virginia,Taylor County,16864,12100,0.717504743833017
54037,West Virginia,Jefferson County,56506,12781,0.226188369376703
54095,West Virginia,Tyler County,8811,5273,0.598456474860969
54023,West Virginia,Grant County,11616,4852,0.417699724517906
54021,West Virginia,Gilmer County,8041,2601,0.323467230443975
54019,West Virginia,Fayette County,43576,40619,0.93214154580503
54069,West Virginia,Ohio County,42143,11615,0.275609235222931
54067,West Virginia,Nicholas County,25078,22036,0.878698460802297
54027,West Virginia,Hampshire County,23309,15199,0.652065725685358
54057,West Virginia,Mineral County,27167,7801,0.287149850922075
54033,West Virginia,Harrison County,67908,26426,0.389144136184249
54017,West Virginia,Doddridge County,8560,3962,0.46285046728972
54009,West Virginia,Brooke County,22459,3044,0.135535865354646
54051,West Virginia,Marshall County,31308,16597,0.530120097099783
54077,West Virginia,Preston County,33683,29639,0.879939435323457
54097,West Virginia,Upshur County,24502,21232,0.86654150681577
54079,West Virginia,Putnam County,56610,17292,0.305458399576047
54107,West Virginia,Wood County,84960,43209,0.508580508474576
54093,West Virginia,Tucker County,6982,4443,0.636350615869378
54087,West Virginia,Roane County,14020,11569,0.825178316690442
NA,American Samoa,NA,NA,NA,NA
37067,North Carolina,Forsyth County,375195,105267,0.280566105625075
37159,North Carolina,Rowan County,140296,64626,0.460640360380909
37027,North Carolina,Caldwell County,81884,45262,0.552757559474378
37081,North Carolina,Guilford County,527868,159571,0.302293376374397
37099,North Carolina,Jackson County,42938,14611,0.34028133587964
37093,North Carolina,Hoke County,53957,21581,0.399966640102304
37133,North Carolina,Onslow County,195069,77890,0.399294608574402
37001,North Carolina,Alamance County,163324,63987,0.391779530258872
37061,North Carolina,Duplin County,58967,44871,0.760951040412434
37137,North Carolina,Pamlico County,12701,6890,0.542476970317298
37087,North Carolina,Haywood County,61053,8959,0.146741355871128
37115,North Carolina,Madison County,21499,9468,0.440392576398902
37193,North Carolina,Wilkes County,68469,31955,0.466707561086039
37011,North Carolina,Avery County,17506,13936,0.796069918884954
37007,North Carolina,Anson County,24902,17406,0.698980001606297
37009,North Carolina,Ashe County,26863,16604,0.61809924431374
37085,North Carolina,Harnett County,132283,51967,0.392847153451313
