"num_state","num_county","na_count","tot_build","mu_total_site_energy","med_total_site_energy","mu_total_source_energy","med_total_source_energy","mu_eui","med_eui","mu_area_sq_ft","med_area_sq_ft","year_built_na_count","mean_year_built","cat_state","cat_county","total_cooling_system_type_CE","total_cooling_system_type_miss","total_cooling_system_type_NO","total_cooling_system_type_NONE","total_cooling_system_type_OT","total_cooling_system_type_PA","total_cooling_system_type_RF","total_ee_potential_score_EE_HIGH","total_ee_potential_score_EE_LOW","total_ee_potential_score_EE_MED","total_ee_potential_score_miss","total_heating_system_type_CENTRAL","total_heating_system_type_FLOOR_WALL","total_heating_system_type_FORCED_AIR","total_heating_system_type_GRAVITY","total_heating_system_type_miss","total_heating_system_type_NONE","total_heating_system_type_OTHER","total_heating_system_type_YES","total_heating_fuel_type_Gas","total_heating_fuel_type_miss","total_heating_fuel_type_Oil","total_heating_fuel_type_Unknown","total_building_type_miss","total_building_type_MultiFamily","total_building_type_Other","total_building_type_SingleFamily","total_building_type_SmallCommercial","total_cooling_system_type_EC","total_cooling_system_type_WA","total_heating_system_type_ELECTRIC","total_heating_system_type_GAS","total_heating_system_type_HEAT_PUMP","total_heating_system_type_SPACE_SUSPENDED","total_heating_fuel_type_Electricity","total_cooling_system_type_WU","total_heating_system_type_BASEBOARD","total_heating_system_type_CONVECTION","total_heating_system_type_HOT_WATER","total_heating_system_type_PROPANE","total_heating_system_type_RADIANT","total_heating_system_type_SOLAR","total_heating_system_type_WOOD_BURNING","total_heating_fuel_type_Propane","total_heating_fuel_type_Wood","total_heating_system_type_GEOTHERMAL","total_heating_system_type_OIL","total_heating_system_type_STEAM","total_cooling_system_type_GT","total_heating_system_type_VENT","total_cooling_system_type_CW","total_heating_system_type_COAL","total_heating_fuel_type_Coal","total_heating_system_type_ZONE"
KY,Shelby,0,44170,774.46119060380329,450.79000854492188,1838.7871482444937,896.1400146484375,264.3919128899534,219.565399203944,1322.1052134300646,1350,44170,,KY,Shelby,15208,0,298,12847,104,0,0,372,8601,2844,0,2,26,18185,0,0,10040,94,0,17340,0,985,10279,0,144,2046,26967,478,0,385,21,138,1008,45,1029,0,0,0,2,0,72,0,2,0,2,0,0,0,0,0,0,0,0,0
KY,Bell,0,7987,3015.4631036047012,1087.9000244140625,7407.2166314545948,2692.97998046875,398.29902772133005,322.15707101471,1593.7000420698357,1344,7987,,KY,Bell,1776,0,976,1395,2,0,0,327,1498,1106,0,0,53,0,0,0,1087,56,170,1352,0,46,1585,0,0,372,4377,5,0,464,0,1335,1070,189,1070,0,0,0,24,524,30,0,12,524,12,0,39,0,0,0,0,165,165,0
KY,Butler,0,7988,1085.9252117691374,612.6300048828125,2812.7076710752108,1541.22998046875,422.67319696670592,351.778974756349,759.07430951337142,0,7988,,KY,Butler,1812,0,1397,1066,3,0,0,275,378,542,0,0,36,0,0,0,1078,22,114,668,0,21,2017,0,35,415,4017,95,0,186,0,659,348,653,348,0,0,0,14,1428,114,0,69,1428,69,0,16,0,0,0,0,11,11,0
KY,Knott,0,2885,7699.0293796783944,7482.990234375,18989.185145505387,18426.619140625,307.60816740177216,266.21149899622,1972.9418084153983,1610,2885,,KY,Knott,503,0,306,142,3,0,0,219,457,200,0,0,70,0,0,0,92,4,18,148,0,3,362,0,4,68,1041,4,0,146,0,148,229,148,229,0,0,0,0,366,30,0,4,366,4,0,3,0,0,0,0,5,5,0
KY,Whitley,0,16323,1564.8981778180996,761.20001220703125,3988.2454363788997,1950.030029296875,441.68854391740592,375.363615480421,2950.0510471204184,2536,16323,,KY,Whitley,6575,0,224,3108,38,0,0,341,2732,1833,0,0,0,2297,0,0,1767,19,249,5156,0,244,2042,0,42,672,9817,165,0,609,1792,2884,216,2,2010,0,0,0,10,870,5,2,161,870,161,0,209,0,0,0,0,213,213,0
KY,Pulaski,0,40930,1036.3387549012145,559.80999755859375,2657.2929622922757,1308.1300048828125,359.08454483637792,274.609981541118,357.93584153950241,0,40930,,KY,Pulaski,14,0,3,26584,0,0,0,112,2070,1749,0,40,0,1,0,0,2057,2,0,3671,0,695,2104,0,323,1392,24547,344,0,1,0,3668,13910,4,13910,0,3,0,0,5737,1,0,469,5737,469,0,694,0,0,0,0,20,20,0
KY,Johnson,0,5326,4968.5768791052633,4851.990234375,12613.649436976828,13319.6904296875,341.14803098129329,282.246655518395,1700.9115197779315,1416,5326,,KY,Johnson,1550,0,198,620,211,0,0,148,1162,598,0,0,56,601,0,0,673,23,0,915,0,53,1032,0,36,175,2600,71,0,303,173,360,692,230,865,0,0,0,0,0,50,0,1,0,1,0,0,7,0,0,0,16,16,0
KY,Caldwell,0,10714,601.70723313112148,369.20001220703125,1447.7386523811635,743.83001708984375,270.4002341199311,212.336506753196,1110.2196610169487,1080,10714,,KY,Caldwell,2216,0,338,2136,941,0,0,82,594,466,0,0,402,403,0,0,2033,25,151,2197,0,11,3175,0,10,313,5568,9,0,144,0,1762,78,476,78,0,0,0,43,376,88,0,56,376,56,0,0,0,0,0,0,7,7,0
KY,McLean,0,8408,853.735699940136,456.77999877929688,2080.0938020609988,919.6400146484375,297.29725499355567,232.195703614914,883.72946708463974,672,8408,,KY,McLean,916,0,492,1756,3,0,0,78,536,320,0,5,0,0,0,0,1754,4,25,941,0,4,1790,0,8,199,2922,61,0,2,0,941,4,1,4,0,0,0,0,401,1,0,34,401,34,0,4,0,0,0,0,16,16,0
KY,Ohio,0,15312,948.03869948541615,528.1199951171875,2375.6833833113474,1154.3599853515625,370.81647268460142,283.133531959559,316.46221464182639,0,15312,,KY,Ohio,334,0,6171,1107,0,0,0,69,688,344,0,2,12,147,0,0,7158,127,118,131,0,16,7454,0,12,478,7039,93,0,10,2,0,19,28,21,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
KY,Ballard,0,6936,667.157632457894,418.92001342773438,1611.3424068602719,847.28997802734375,272.36217949018567,217.680659435532,1592.307242465138,1420,6936,,KY,Ballard,2450,0,135,798,0,0,0,162,1642,1011,0,0,124,0,0,0,1115,16,251,1496,0,23,1979,0,29,345,3947,125,0,833,0,1469,350,255,350,0,0,0,28,584,218,0,13,584,13,0,22,0,0,0,0,1,1,0
KY,Fleming,0,12532,1035.9136461503131,621.5,2505.6553264349136,1333.0400390625,388.62124250421982,309.693211992449,1252.6368487571974,1280,12532,,KY,Fleming,2645,0,0,3560,0,0,0,305,2114,1743,0,139,187,2245,0,0,1500,86,1,2238,0,135,3147,0,0,760,6228,133,0,916,0,76,1383,785,1383,0,0,0,30,185,449,0,28,185,28,0,22,0,0,0,0,5,5,0
KY,Livingston,0,8440,754.95701206476167,415.05999755859375,1903.476774295473,927.260009765625,331.80307358136861,248.532949594351,1080.8082837301588,1150,8440,,KY,Livingston,1633,0,454,1608,8,0,0,79,1533,718,0,0,0,1,0,0,1253,9,2697,51,0,0,3967,0,3,349,3641,39,0,329,2,50,12,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KY,Greenup,0,15708,1671.0931155841286,508.989990234375,4106.9800944246963,1090.969970703125,315.37912245478043,247.717397292189,4757.7936469447168,2610,10324,2013,KY,Greenup,5935,0,1045,4233,54,0,0,426,3484,2217,0,0,567,2202,0,0,3855,78,4120,1481,0,738,9083,0,76,755,11375,166,0,965,0,4,1065,228,1065,0,0,1,12,1,235,0,4,1,4,0,0,0,0,0,0,0,0,0
KY,Bourbon,0,14327,890.91431943119017,578.6099853515625,2121.784595882501,1183.8800048828125,336.78145274253239,269.031544301555,2120.4127587110288,1525,14327,,KY,Bourbon,1,0,99,3456,3,0,0,189,825,1109,0,5,3,0,0,0,1188,3,1818,3271,0,155,3017,0,26,570,6988,50,0,188,874,3268,90,0,1090,319,0,0,1,31,0,0,59,31,59,126,154,3,0,0,0,11,11,0
